"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?"
meddroute,inhome_visit_2nd_part,,radio,"Ruta de administraci","1, Oral | 2, Iintracut",,,,,,[med]='1',,,,,
meddoraltype,inhome_visit_2nd_part,,radio,"Si Oral, indique el tipo (D)","1, Tableta | 2,Caplet | 3, C",,,,,,[med]='1',,,,,
meddcomment,inhome_visit_2nd_part,,text,"Comentarios (D)",,,,,,,[med]='1',,,,,
mede,inhome_visit_2nd_part,,text,"Nombre del medicamento (E)",,,,,,,[med]='1',,,,,
medestartmonth,inhome_visit_2nd_part,,text,"Fecha de Inicio (E) MM",,Mes,number,1,12,,[med]='1',,,,,
medestartyear,inhome_visit_2nd_part,,text,"Fecha de Inicio A",,A,number,2010,2013,,[med]='1',,,,,
medestopmonth,inhome_visit_2nd_part,,text,"Fecha en que dej",,Mes,number,1,12,,[med]='1',,,,,
medestopyear,inhome_visit_2nd_part,,text,"Fecha en que dej",,A,number,2010,2013,,[med]='1',,,,,
medepills,inhome_visit_2nd_part,,text,"Numero de pildoras por d",,,number,1,20,,[med]='1',,,,,
mededose,inhome_visit_2nd_part,,text,Dosis/d,,,,,,,[med]='1',,,,,
mededoseunit,inhome_visit_2nd_part,,radio,"Unidad dosis (E)","1, Gramo(s) | 2, Grano(s) | 3, Gota(s) | 4, Unidad Internacional (IU) | 5, microgramos | 6, miligramos | 7, mililitros | 8, cucharada | 9, cucharadita | 97, Otra | 888, Reh",,,,,,[med]='1',,,,,
mederoute,inhome_visit_2nd_part,,radio,"Ruta de administraci","1, Oral | 2, Iintracut",,,,,,[med]='1',,,,,
medeoraltype,inhome_visit_2nd_part,,radio,"Si Oral, indique el tipo (E)","1, Tableta | 2,Caplet | 3, C",,,,,,[med]='1',,,,,
medecomment,inhome_visit_2nd_part,,text,"Comentarios (E)",,,,,,,[med]='1',,,,,
medf,inhome_visit_2nd_part,,text,"Nombre del medicamento (F)",,,,,,,[med]='1',,,,,
medfstartmonth,inhome_visit_2nd_part,,text,"Fecha de Inicio (F) MM",,Mes,number,1,12,,[med]='1',,,,,
medfstartyear,inhome_visit_2nd_part,,text,"Fecha de Inicio A",,A,number,2010,2013,,[med]='1',,,,,
medfstopmonth,inhome_visit_2nd_part,,text,"Fecha en que dej",,Mes,number,1,12,,[med]='1',,,,,
medfstopyear,inhome_visit_2nd_part,,text,"Fecha en que dej",,A,number,2010,2013,,[med]='1',,,,,
medfpills,inhome_visit_2nd_part,,text,"Numero de pildoras por d",,,number,1,20,,[med]='1',,,,,
medfdose,inhome_visit_2nd_part,,text,Dosis/d,,,,,,,[med]='1',,,,,
medfdoseunit,inhome_visit_2nd_part,,radio,"Unidad dosis (F)","1, Gramo(s) | 2, Grano(s) | 3, Gota(s) | 4, Unidad Internacional (IU) | 5, microgramos | 6, miligramos | 7, mililitros | 8, cucharada | 9, cucharadita | 97, Otra | 888, Reh",,,,,,[med]='1',,,,,
medfroute,inhome_visit_2nd_part,,radio,"Ruta de administraci","1, Oral | 2, Iintracut",,,,,,[med]='1',,,,,
medforaltype,inhome_visit_2nd_part,,radio,"Si Oral, indique el tipo (F)","1, Tableta | 2,Caplet | 3, C",,,,,,[med]='1',,,,,
medfcomment,inhome_visit_2nd_part,,text,"Comentarios (F)",,,,,,,[med]='1',,,,,
medg,inhome_visit_2nd_part,,text,"Nombre del medicamento (G)",,,,,,,[med]='1',,,,,
medgstartmonth,inhome_visit_2nd_part,,text,"Fecha de Inicio (G) MM",,Mes,number,1,12,,[med]='1',,,,,
medgstartyear,inhome_visit_2nd_part,,text,"Fecha de Inicio A",,A,number,2010,2013,,[med]='1',,,,,
medgstopmonth,inhome_visit_2nd_part,,text,"Fecha en que dej",,Mes,number,1,12,,[med]='1',,,,,
medgstopyear,inhome_visit_2nd_part,,text,"Fecha en que dej",,A,number,2010,2013,,[med]='1',,,,,
medgpills,inhome_visit_2nd_part,,text,"Numero de pildoras por d",,,number,1,20,,[med]='1',,,,,
medgdose,inhome_visit_2nd_part,,text,Dosis/d,,,,,,,[med]='1',,,,,
medgdoseunit,inhome_visit_2nd_part,,radio,"Unidad dosis (G)","1, Gramo(s) | 2, Grano(s) | 3, Gota(s) | 4, Unidad Internacional (IU) | 5, microgramos | 6, miligramos | 7, mililitros | 8, cucharada | 9, cucharadita | 97, Otra | 888, Reh",,,,,,[med]='1',,,,,
medgroute,inhome_visit_2nd_part,,radio,"Ruta de administraci","1, Oral | 2, Iintracut",,,,,,[med]='1',,,,,
medgoraltype,inhome_visit_2nd_part,,radio,"Si Oral, indique el tipo (G)","1, Tableta | 2,Caplet | 3, C",,,,,,[med]='1',,,,,
medgcomment,inhome_visit_2nd_part,,text,"Comentarios (G)",,,,,,,[med]='1',,,,,
medh,inhome_visit_2nd_part,,text,"Nombre del medicamento (H)",,,,,,,[med]='1',,,,,
medhstartmonth,inhome_visit_2nd_part,,text,"Fecha de Inicio (H) MM",,Mes,number,1,12,,[med]='1',,,,,
medhstartyear,inhome_visit_2nd_part,,text,"Fecha de Inicio A",,A,number,2010,2013,,[med]='1',,,,,
medhstopmonth,inhome_visit_2nd_part,,text,"Fecha en que dej",,Mes,number,1,12,,[med]='1',,,,,
medhstopyear,inhome_visit_2nd_part,,text,"Fecha en que dej",,A,number,2010,2013,,[med]='1',,,,,
medhpills,inhome_visit_2nd_part,,text,"Numero de pildoras por d",,,number,1,20,,[med]='1',,,,,
medhdose,inhome_visit_2nd_part,,text,Dosis/d,,,,,,,[med]='1',,,,,
medhdoseunit,inhome_visit_2nd_part,,radio,"Unidad dosis (H)","1, Gramo(s) | 2, Grano(s) | 3, Gota(s) | 4, Unidad Internacional (IU) | 5, microgramos | 6, miligramos | 7, mililitros | 8, cucharada | 9, cucharadita | 97, Otra | 888, Reh",,,,,,[med]='1',,,,,
medhroute,inhome_visit_2nd_part,,radio,"Ruta de administraci","1, Oral | 2, Iintracut",,,,,,[med]='1',,,,,
medhoraltype,inhome_visit_2nd_part,,radio,"Si Oral, indique el tipo (H)","1, Tableta | 2,Caplet | 3, C",,,,,,[med]='1',,,,,
medhcomment,inhome_visit_2nd_part,,text,"Comentarios (H)",,,,,,,[med]='1',,,,,
otc,inhome_visit_2nd_part,,radio,,"1, S",,,,,,,,,,,
otca,inhome_visit_2nd_part,,text,"Nombre del medicamento (A)",,,,,,,[otc]='1',,,,,
otcastartmonth,inhome_visit_2nd_part,,text,"Fecha de Inicio (A) MM",,Mes,number,1,12,,[otc]='1',,,,,
otcastartyear,inhome_visit_2nd_part,,text,"Fecha de Inicio A",,A,number,2010,2013,,[otc]='1',,,,,
otcastopmonth,inhome_visit_2nd_part,,text,"Fecha en que dej",,Mes,number,1,12,,[otc]='1',,,,,
otcastopyear,inhome_visit_2nd_part,,text,"Fecha en que dej",,A,number,2010,2013,,[otc]='1',,,,,
otcapills,inhome_visit_2nd_part,,text,"Numero de pildoras por d",,,number,1,20,,[otc]='1',,,,,
otcadose,inhome_visit_2nd_part,,text,Dosis/d,,,,,,,[otc]='1',,,,,
otcadoseunit,inhome_visit_2nd_part,,radio,"Unidad dosis (A)","1, Gramo(s) | 2, Grano(s) | 3, Gota(s) | 4, Unidad Internacional (IU) | 5, microgramos | 6, miligramos | 7, mililitros | 8, cucharada | 9, cucharadita | 97, Otra | 888, Reh",,,,,,[otc]='1',,,,,
otcaroute,inhome_visit_2nd_part,,radio,"Ruta de administraci","1, Oral | 2, Iintracut",,,,,,[otc]='1',,,,,
otcaoraltype,inhome_visit_2nd_part,,radio,"Si Oral, indique el tipo (A)","1, Tableta | 2,Caplet | 3, C",,,,,,[otc]='1',,,,,
otcacomment,inhome_visit_2nd_part,,text,"Comentarios (A)",,,,,,,[otc]='1',,,,,
otcb,inhome_visit_2nd_part,,text,"Nombre del medicamento (B)",,,,,,,[otc]='1',,,,,
otcbstartmonth,inhome_visit_2nd_part,,text,"Fecha de Inicio (B) MM",,Mes,number,1,12,,[otc]='1',,,,,
otcbstartyear,inhome_visit_2nd_part,,text,"Fecha de Inicio A",,A,number,2010,2013,,[otc]='1',,,,,
otcbstopmonth,inhome_visit_2nd_part,,text,"Fecha en que dej",,Mes,number,1,12,,[otc]='1',,,,,
otcbstopyear,inhome_visit_2nd_part,,text,"Fecha en que dej",,A,number,2010,2013,,[otc]='1',,,,,
otcbpills,inhome_visit_2nd_part,,text,"Numero de pildoras por d",,,number,1,20,,[otc]='1',,,,,
otcbdose,inhome_visit_2nd_part,,text,Dosis/d,,,,,,,[otc]='1',,,,,
otcbdoseunit,inhome_visit_2nd_part,,radio,"Unidad dosis (B)","1, Gramo(s) | 2, Grano(s) | 3, Gota(s) | 4, Unidad Internacional (IU) | 5, microgramos | 6, miligramos | 7, mililitros | 8, cucharada | 9, cucharadita | 97, Otra | 888, Reh",,,,,,[otc]='1',,,,,
otcbroute,inhome_visit_2nd_part,,radio,"Ruta de administraci","1, Oral | 2, Iintracut",,,,,,[otc]='1',,,,,
otcboraltype,inhome_visit_2nd_part,,radio,"Si Oral, indique el tipo (B)","1, Tableta | 2,Caplet | 3, C",,,,,,[otc]='1',,,,,
otcbcomment,inhome_visit_2nd_part,,text,"Comentarios (B)",,,,,,,[otc]='1',,,,,
otcc,inhome_visit_2nd_part,,text,"Nombre del medicamento (C)",,,,,,,[otc]='1',,,,,
otccstartnonth,inhome_visit_2nd_part,,text,"Fecha de Inicio (C) MM",,Mes,number,1,12,,[otc]='1',,,,,
otccstartyear,inhome_visit_2nd_part,,text,"Fecha de Inicio A",,A,number,2010,2013,,[otc]='1',,,,,
otccstopmonth,inhome_visit_2nd_part,,text,"Fecha en que dej",,Mes,number,1,12,,[otc]='1',,,,,
otccstopyear,inhome_visit_2nd_part,,text,"Fecha en que dej",,A,number,2010,2013,,[otc]='1',,,,,
otccpills,inhome_visit_2nd_part,,text,"Numero de pildoras por d",,,number,1,20,,[otc]='1',,,,,
otccdose,inhome_visit_2nd_part,,text,Dosis/d,,,,,,,[otc]='1',,,,,
otccdoseunit,inhome_visit_2nd_part,,radio,"Unidad dosis (C)","1, Gramo(s) | 2, Grano(s) | 3, Gota(s) | 4, Unidad Internacional (IU) | 5, microgramos | 6, miligramos | 7, mililitros | 8, cucharada | 9, cucharadita | 97, Otra | 888, Reh",,,,,,[otc]='1',,,,,
otccroute,inhome_visit_2nd_part,,radio,"Ruta de administraci","1, Oral | 2, Iintracut",,,,,,[otc]='1',,,,,
otccoraltype,inhome_visit_2nd_part,,radio,"Si Oral, indique el tipo (C)","1, Tableta | 2,Caplet | 3, C",,,,,,[otc]='1',,,,,
otcccomment,inhome_visit_2nd_part,,text,"Comentarios (C)",,,,,,,[otc]='1',,,,,
otcd,inhome_visit_2nd_part,,text,"Nombre del medicamento (D)",,,,,,,[otc]='1',,,,,
otcdstartmonth,inhome_visit_2nd_part,,text,"Fecha de Inicio (D) MM",,Mes,number,1,12,,[otc]='1',,,,,
otcdstartyear,inhome_visit_2nd_part,,text,"Fecha de Inicio A",,A,number,2010,2013,,[otc]='1',,,,,
otcdstopmonth,inhome_visit_2nd_part,,text,"Fecha en que dej",,Mes,number,1,12,,[otc]='1',,,,,
otcdstopyear,inhome_visit_2nd_part,,text,"Fecha en que dej",,A,number,2010,2013,,[otc]='1',,,,,
otcdpills,inhome_visit_2nd_part,,text,"Numero de pildoras por d",,,number,1,20,,[otc]='1',,,,,
otcddose,inhome_visit_2nd_part,,text,Dosis/d,,,,,,,[otc]='1',,,,,
otcddoseunit,inhome_visit_2nd_part,,radio,"Unidad dosis (D)","1, Gramo(s) | 2, Grano(s) | 3, Gota(s) | 4, Unidad Internacional (IU) | 5, microgramos | 6, miligramos | 7, mililitros | 8, cucharada | 9, cucharadita | 97, Otra | 888, Reh",,,,,,[otc]='1',,,,,
otcdroute,inhome_visit_2nd_part,,radio,"Ruta de administraci","1, Oral | 2, Iintracut",,,,,,[otc]='1',,,,,
otcdoraltype,inhome_visit_2nd_part,,radio,"Si Oral, indique el tipo (D)","1, Tableta | 2,Caplet | 3, C",,,,,,[otc]='1',,,,,
otcdcomment,inhome_visit_2nd_part,,text,"Comentarios (D)",,,,,,,[otc]='1',,,,,
otce,inhome_visit_2nd_part,,text,"Nombre del medicamento (E)",,,,,,,[otc]='1',,,,,
otcestartmonth,inhome_visit_2nd_part,,text,"Fecha de Inicio (E) MM",,Mes,number,1,12,,[otc]='1',,,,,
otcestartyear,inhome_visit_2nd_part,,text,"Fecha de Inicio A",,A,number,2010,2013,,[otc]='1',,,,,
otcestopmonth,inhome_visit_2nd_part,,text,"Fecha en que dej",,Mes,number,1,12,,[otc]='1',,,,,
otcestopyear,inhome_visit_2nd_part,,text,"Fecha en que dej",,A,number,2010,2013,,[otc]='1',,,,,
otcepills,inhome_visit_2nd_part,,text,"Numero de pildoras por d",,,number,1,20,,[otc]='1',,,,,
otcedose,inhome_visit_2nd_part,,text,Dosis/d,,,,,,,[otc]='1',,,,,
otcedoseunit,inhome_visit_2nd_part,,radio,"Unidad dosis (E)","1, Gramo(s) | 2, Grano(s) | 3, Gota(s) | 4, Unidad Internacional (IU) | 5, microgramos | 6, miligramos | 7, mililitros | 8, cucharada | 9, cucharadita | 97, Otra | 888, Reh",,,,,,[otc]='1',,,,,
otceroute,inhome_visit_2nd_part,,radio,"Ruta de administraci","1, Oral | 2, Iintracut",,,,,,[otc]='1',,,,,
otceoraltype,inhome_visit_2nd_part,,radio,"Si Oral, indique el tipo (E)","1, Tableta | 2,Caplet | 3, C",,,,,,[otc]='1',,,,,
otcecomment,inhome_visit_2nd_part,,text,"Comentarios (E)",,,,,,,[otc]='1',,,,,
otcf,inhome_visit_2nd_part,,text,"Nombre del medicamento (F)",,,,,,,[otc]='1',,,,,
otcfstartmonth,inhome_visit_2nd_part,,text,"Fecha de Inicio (F) MM",,Mes,number,1,12,,[otc]='1',,,,,
otcfstartyear,inhome_visit_2nd_part,,text,"Fecha de Inicio A",,A,number,2010,2013,,[otc]='1',,,,,
otcfstopmonth,inhome_visit_2nd_part,,text,"Fecha en que dej",,Mes,number,1,12,,[otc]='1',,,,,
otcfstopyear,inhome_visit_2nd_part,,text,"Fecha en que dej",,A,number,2010,2013,,[otc]='1',,,,,
otcfpills,inhome_visit_2nd_part,,text,"Numero de pildoras por d",,,number,1,20,,[otc]='1',,,,,
otcfdose,inhome_visit_2nd_part,,text,Dosis/d,,,,,,,[otc]='1',,,,,
otcfdoseunit,inhome_visit_2nd_part,,radio,"Unidad dosis (F)","1, Gramo(s) | 2, Grano(s) | 3, Gota(s) | 4, Unidad Internacional (IU) | 5, microgramos | 6, miligramos | 7, mililitros | 8, cucharada | 9, cucharadita | 97, Otra | 888, Reh",,,,,,[otc]='1',,,,,
otcfroute,inhome_visit_2nd_part,,radio,"Ruta de administraci","1, Oral | 2, Iintracut",,,,,,[otc]='1',,,,,
otcforaltype,inhome_visit_2nd_part,,radio,"Si Oral, indique el tipo (F)","1, Tableta | 2,Caplet | 3, C",,,,,,[otc]='1',,,,,
otcfcomment,inhome_visit_2nd_part,,text,"Comentarios (F)",,,,,,,[otc]='1',,,,,
otcg,inhome_visit_2nd_part,,text,"Nombre del medicamento (G)",,,,,,,[otc]='1',,,,,
otcgstartmonth,inhome_visit_2nd_part,,text,"Fecha de Inicio (G) MM",,Mes,number,1,12,,[otc]='1',,,,,
otcgstartyear,inhome_visit_2nd_part,,text,"Fecha de Inicio A",,A,number,2010,2013,,[otc]='1',,,,,
otcgstopmonth,inhome_visit_2nd_part,,text,"Fecha en que dej",,Mes,number,1,12,,[otc]='1',,,,,
otcgstopyear,inhome_visit_2nd_part,,text,"Fecha en que dej",,A,number,2010,2013,,[otc]='1',,,,,
otcgpills,inhome_visit_2nd_part,,text,"Numero de pildoras por d",,,number,1,20,,[otc]='1',,,,,
otcgdose,inhome_visit_2nd_part,,text,Dosis/d,,,,,,,[otc]='1',,,,,
otcgdoseunit,inhome_visit_2nd_part,,radio,"Unidad dosis (G)","1, Gramo(s) | 2, Grano(s) | 3, Gota(s) | 4, Unidad Internacional (IU) | 5, microgramos | 6, miligramos | 7, mililitros | 8, cucharada | 9, cucharadita | 97, Otra | 888, Reh",,,,,,[otc]='1',,,,,
otcgroute,inhome_visit_2nd_part,,radio,"Ruta de administraci","1, Oral | 2, Intracut",,,,,,[otc]='1',,,,,
otcgoraltype,inhome_visit_2nd_part,,radio,"Si Oral, indique el tipo (G)","1, Tableta | 2,Caplet | 3, C",,,,,,[otc]='1',,,,,
otcgcomment,inhome_visit_2nd_part,,text,"Comentarios (G)",,,,,,,[otc]='1',,,,,
otch,inhome_visit_2nd_part,,text,"Nombre del medicamento (H)",,,,,,,[otc]='1',,,,,
otchstartmonth,inhome_visit_2nd_part,,text,"Fecha de Inicio (H) MM",,Mes,number,1,12,,[otc]='1',,,,,
otchstartyear,inhome_visit_2nd_part,,text,"Fecha de Inicio A",,A,number,2010,2013,,[otc]='1',,,,,
otchstopmonth,inhome_visit_2nd_part,,text,"Fecha en que dej",,Mes,number,1,12,,[otc]='1',,,,,
otchstopyear,inhome_visit_2nd_part,,text,"Fecha en que dej",,A,number,2010,2013,,[otc]='1',,,,,
otchpills,inhome_visit_2nd_part,,text,"Numero de pildoras por d",,,number,1,20,,[otc]='1',,,,,
otchdose,inhome_visit_2nd_part,,text,Dosis/d,,,,,,,[otc]='1',,,,,
otchdoseunit,inhome_visit_2nd_part,,radio,"Unidad dosis (H)","1, Gramo(s) | 2, Grano(s) | 3, Gota(s) | 4, Unidad Internacional (IU) | 5, microgramos | 6, miligramos | 7, mililitros | 8, cucharada | 9, cucharadita | 97, Otra | 888, Reh",,,,,,[otc]='1',,,,,
otchroute,inhome_visit_2nd_part,,radio,"Ruta de administraci","1, Oral | 2, Iintracut",,,,,,[otc]='1',,,,,
otchoraltype,inhome_visit_2nd_part,,radio,"Si Oral, indique el tipo (H)","1, Tableta | 2,Caplet | 3, C",,,,,,[otc]='1',,,,,
otchcomment,inhome_visit_2nd_part,,text,"Comentarios (H)",,,,,,,[otc]='1',,,,,
married,inhome_visit_2nd_part,"ENCUESTA EXPERIENCIA DE LA VIDA",radio,,"1, S",,,,,,,,,,,
marriednegpos,inhome_visit_2nd_part,,radio,"Impacto en su vida ","-3, Extremadamente negativo | -2, Moderadamente Negativo | -1, Algo Negativo | 0, No Impacto | 1, Algo positivo | 2, Moderadamente positivo | 3, Extremadamente positivo",,,,,,[married]='1',,,,,
jail,inhome_visit_2nd_part,,radio,,"1, S",,,,,,,,,,,
jailnegpos,inhome_visit_2nd_part,,radio,"Impacto en su vida ","-3, Extremadamente negativo | -2, Moderadamente Negativo | -1, Algo Negativo | 0, No Impacto | 1, Algo positivo | 2, Moderadamente positivo | 3, Extremadamente positivo",,,,,,[jail]='1',,,,,
husbdeath,inhome_visit_2nd_part,,radio,,"1, S",,,,,,,,,,,
husbdeathnegpos,inhome_visit_2nd_part,,radio,"Impacto en su vida ","-3, Extremadamente negativo | -2, Moderadamente Negativo | -1, Algo Negativo | 0, No Impacto | 1, Algo positivo | 2, Moderadamente positivo | 3, Extremadamente positivo",,,,,,[husbdeath]='1',,,,,
sleepchng,inhome_visit_2nd_part,,radio,,"1, S",,,,,,,,,,,
sleepchngnegpos,inhome_visit_2nd_part,,radio,"Impacto en su vida ","-3, Extremadamente negativo | -2, Moderadamente Negativo | -1, Algo Negativo | 0, No Impacto | 1, Algo positivo | 2, Moderadamente positivo | 3, Extremadamente positivo",,,,,,[sleepchng]='1',,,,,
famdeath,inhome_visit_2nd_part,,radio,,"1, S",,,,,,,,,,,
famdeathnegpos,inhome_visit_2nd_part,,radio,"Impacto en su vida ","-3, Extremadamente negativo | -2, Moderadamente Negativo | -1, Algo Negativo | 0, No Impacto | 1, Algo positivo | 2, Moderadamente positivo | 3, Extremadamente positivo",,,,,,[famdeath]='1',,,,,
eatchng,inhome_visit_2nd_part,,radio,,"1, S",,,,,,,,,,,
eatchngnegpos,inhome_visit_2nd_part,,radio,"Impacto en su vida ","-3, Extremadamente negativo | -2, Moderadamente Negativo | -1, Algo Negativo | 0, No Impacto | 1, Algo positivo | 2, Moderadamente positivo | 3, Extremadamente positivo",,,,,,[eatchng]='1',,,,,
foreclos,inhome_visit_2nd_part,,radio,,"1, S",,,,,,,,,,,
foreclosnegpos,inhome_visit_2nd_part,,radio,"Impacto en su vida ","-3, Extremadamente negativo | -2, Moderadamente Negativo | -1, Algo Negativo | 0, No Impacto | 1, Algo positivo | 2, Moderadamente positivo | 3, Extremadamente positivo",,,,,,[foreclos]='1',,,,,
frnddeath,inhome_visit_2nd_part,,radio,,"1, S",,,,,,,,,,,
frnddeathnegpos,inhome_visit_2nd_part,,radio,"Impacto en su vida ","-3, Extremadamente negativo | -2, Moderadamente Negativo | -1, Algo Negativo | 0, No Impacto | 1, Algo positivo | 2, Moderadamente positivo | 3, Extremadamente positivo",,,,,,[frnddeath]='1',,,,,
achieve,inhome_visit_2nd_part,,radio,,"1, S",,,,,,,,,,,
acievenegpos,inhome_visit_2nd_part,,radio,"Impacto en su vida ","-3, Extremadamente negativo | -2, Moderadamente Negativo | -1, Algo Negativo | 0, No Impacto | 1, Algo positivo | 2, Moderadamente positivo | 3, Extremadamente positivo",,,,,,[achieve]='1',,,,,
viol,inhome_visit_2nd_part,,radio,,"1, S",,,,,,,,,,,
violnegpos,inhome_visit_2nd_part,,radio,"Impacto en su vida ","-3, Extremadamente negativo | -2, Moderadamente Negativo | -1, Algo Negativo | 0, No Impacto | 1, Algo positivo | 2, Moderadamente positivo | 3, Extremadamente positivo",,,,,,[viol]='1',,,,,
wrkchng,inhome_visit_2nd_part,,radio,,"1, S",,,,,,,,,,,
wrkchngnegpos,inhome_visit_2nd_part,,radio,"Impacto en su vida ","-3, Extremadamente negativo | -2, Moderadamente Negativo | -1, Algo Negativo | 0, No Impacto | 1, Algo positivo | 2, Moderadamente positivo | 3, Extremadamente positivo",,,,,,[wrkchng]='1',,,,,
newjob,inhome_visit_2nd_part,,radio,,"1, S",,,,,,,,,,,
newjobnegpos,inhome_visit_2nd_part,,radio,"Impacto en su vida ","-3, Extremadamente negativo | -2, Moderadamente Negativo | -1, Algo Negativo | 0, No Impacto | 1, Algo positivo | 2, Moderadamente positivo | 3, Extremadamente positivo",,,,,,[newjob]='1',,,,,
famill,inhome_visit_2nd_part,,radio,,"1, S",,,,,,,,,,,
famillnegpos,inhome_visit_2nd_part,,radio,"Impacto en su vida ","-3, Extremadamente negativo | -2, Moderadamente Negativo | -1, Algo Negativo | 0, No Impacto | 1, Algo positivo | 2, Moderadamente positivo | 3, Extremadamente positivo",,,,,,[famill]='1',,,,,
sexdiff,inhome_visit_2nd_part,,radio,,"1, S",,,,,,,,,,,
sexdiffnegpos,inhome_visit_2nd_part,,radio,"Impacto en su vida ","-3, Extremadamente negativo | -2, Moderadamente Negativo | -1, Algo Negativo | 0, No Impacto | 1, Algo positivo | 2, Moderadamente positivo | 3, Extremadamente positivo",,,,,,[sexdiff]='1',,,,,
bosstrb,inhome_visit_2nd_part,,radio,,"1, S",,,,,,,,,,,
bosstrbnegpos,inhome_visit_2nd_part,,radio,"Impacto en su vida ","-3, Extremadamente negativo | -2, Moderadamente Negativo | -1, Algo Negativo | 0, No Impacto | 1, Algo positivo | 2, Moderadamente positivo | 3, Extremadamente positivo",,,,,,[bosstrb]='1',,,,,
inlawtrb,inhome_visit_2nd_part,,radio,,"1, S",,,,,,,,,,,
inlawtrbnegpos,inhome_visit_2nd_part,,radio,"Impacto en su vida ","-3, Extremadamente negativo | -2, Moderadamente Negativo | -1, Algo Negativo | 0, No Impacto | 1, Algo positivo | 2, Moderadamente positivo | 3, Extremadamente positivo",,,,,,[inlawtrb]='1',,,,,
finchng,inhome_visit_2nd_part,,radio,,"1, S",,,,,,,,,,,
finchngnegpos,inhome_visit_2nd_part,,radio,"Impacto en su vida ","-3, Extremadamente negativo | -2, Moderadamente Negativo | -1, Algo Negativo | 0, No Impacto | 1, Algo positivo | 2, Moderadamente positivo | 3, Extremadamente positivo",,,,,,[finchng]='1',,,,,
famclose,inhome_visit_2nd_part,,radio,,"1, S",,,,,,,,,,,
famclosenegpos,inhome_visit_2nd_part,,radio,"Impacto en su vida ","-3, Extremadamente negativo | -2, Moderadamente Negativo | -1, Algo Negativo | 0, No Impacto | 1, Algo positivo | 2, Moderadamente positivo | 3, Extremadamente positivo",,,,,,[famclose]='1',,,,,
newfam,inhome_visit_2nd_part,,radio,,"1, S",,,,,,,,,,,
newfamnegpos,inhome_visit_2nd_part,,radio,"Impacto en su vida ","-3, Extremadamente negativo | -2, Moderadamente Negativo | -1, Algo Negativo | 0, No Impacto | 1, Algo positivo | 2, Moderadamente positivo | 3, Extremadamente positivo",,,,,,[newfam]='1',,,,,
newplc,inhome_visit_2nd_part,,radio,,"1, S",,,,,,,,,,,
newplcnegpos,inhome_visit_2nd_part,,radio,"Impacto en su vida ","-3, Extremadamente negativo | -2, Moderadamente Negativo | -1, Algo Negativo | 0, No Impacto | 1, Algo positivo | 2, Moderadamente positivo | 3, Extremadamente positivo",,,,,,[newplc]='1',,,,,
sep,inhome_visit_2nd_part,,radio,,"1, S",,,,,,,,,,,
sepnegpos,inhome_visit_2nd_part,,radio,"Impacto en su vida ","-3, Extremadamente negativo | -2, Moderadamente Negativo | -1, Algo Negativo | 0, No Impacto | 1, Algo positivo | 2, Moderadamente positivo | 3, Extremadamente positivo",,,,,,[sep]='1',,,,,
churchchng,inhome_visit_2nd_part,,radio,,"1, S",,,,,,,,,,,
churchchngnegpos,inhome_visit_2nd_part,,radio,"Impacto en su vida ","-3, Extremadamente negativo | -2, Moderadamente Negativo | -1, Algo Negativo | 0, No Impacto | 1, Algo positivo | 2, Moderadamente positivo | 3, Extremadamente positivo",,,,,,[churchchng]='1',,,,,
reunion,inhome_visit_2nd_part,,radio,,"1, S",,,,,,,,,,,
reunionnegpos,inhome_visit_2nd_part,,radio,"Impacto en su vida ","-3, Extremadamente negativo | -2, Moderadamente Negativo | -1, Algo Negativo | 0, No Impacto | 1, Algo positivo | 2, Moderadamente positivo | 3, Extremadamente positivo",,,,,,[reunion]='1',,,,,
arguechng,inhome_visit_2nd_part,,radio,,"1, S",,,,,,,,,,,
arguechngnegpos,inhome_visit_2nd_part,,radio,"Impacto en su vida ","-3, Extremadamente negativo | -2, Moderadamente Negativo | -1, Algo Negativo | 0, No Impacto | 1, Algo positivo | 2, Moderadamente positivo | 3, Extremadamente positivo",,,,,,[arguechng]='1',,,,,
husbwrkchng,inhome_visit_2nd_part,,radio,,"1, S",,,,,,,,,,,
husbworkchngnegpos,inhome_visit_2nd_part,,radio,"Impacto en su vida ","-3, Extremadamente negativo | -2, Moderadamente Negativo | -1, Algo Negativo | 0, No Impacto | 1, Algo positivo | 2, Moderadamente positivo | 3, Extremadamente positivo",,,,,,[husbwrkchng]='1',,,,,
recchng,inhome_visit_2nd_part,,radio,,"1, S",,,,,,,,,,,
recchngnegpos,inhome_visit_2nd_part,,radio,"Impacto en su vida ","-3, Extremadamente negativo | -2, Moderadamente Negativo | -1, Algo Negativo | 0, No Impacto | 1, Algo positivo | 2, Moderadamente positivo | 3, Extremadamente positivo",,,,,,[recchng]='1',,,,,
bigloan,inhome_visit_2nd_part,,radio,,"1, S",,,,,,,,,,,
